Q1A_1	Q1A_2	Q1A_3	Q1C_1	Q1C_2	Q1C_3	Q1C_4	Q1C_5	Q1C_6	Q1C_7	Q1C_8	Q1C_9	Q1C_10	Q1C_11	Q1C_12	Q1D_1	Q1D_2	Q1D_3	Q1D_4	Q1D_5	Q1D_6	Q1D_7	Q1D_8	Q1D_9	Q1D_10	Q1D_11	Q1D_12	Q2A_1	Q2A_2	Q2A_3	Q2A_4	Q2A_5	Q2B_1	Q2B_2	Q2B_3	Q2B_4	Q2B_5	Q3A_A	Q3A_B	Q3A_C	Q3A_D	Q3A_E	Q3A_F	Q3A_G	Q3A_H	Q3A_I	Q3B_A	Q3B_B	Q3B_C	Q3B_D	Q3B_E	Q3B_F	Q3B_G	Q3B_H	Q3B_I	Q4A_1	Q4A_2	Q4A_3	Q4A_4	Q4A_5	Q4A_6	Q4A_7	Q4A_8	Q4A_9	Q4B_1	Q4B_2	Q4B_3	Q4B_4	Q4B_5	Q4B_6	Q4B_7	Q4B_8	Q4B_9	Q5A	Q5B	Q5C_1	Q5C_2	Q5C_3	Q5C_4	Q5C_5	Q5C_6	Q5C_7	Q5D	Q5E	Q5G_1	Q5G_2	Q5G_3	Q5G_4	Q5G_5	Q5G_6	Q5G_7	Q5G_8	Q5H_1	Q5H_2	Q5H_3	Q5I_1	Q5I_2	Q5I_3	Q5I_4	Q5I_5	Q5J_1	Q5J_2	Q5J_3	Q5J_4	Q5J_5	Q6_A	Q6_B	Q6_C	Q6_D	Q6_E	Q6_F	Q6_G	Q6_H	Q6_I	Q6_J	Q6_K	Q6_L	Q6_M	Q6_N	Q6_O	Q7A_1	Q7A_2	Q7A_3	Q7A_4	Q7B_1	Q7B_2	Q7B_3	Q7B_4	Q7B_5	Q7B_6	Q7B_7	Q7B_8	Q7B_9	Q7B_10	Q7B_11	Q7C	Q8A	Q8B_1	Q8B_2	Q8B_3	Q8B_4	Q8B_5	Q8B_6	Q8B_7	Q8B_8	Q8B_9	Q8B_10	Q8B_11	Q8C	Q8E_1	Q8E_2	Q8E_3	Q8E_4	Q8E_5	Q8E_6	Q8E_7	Q8E_8	Q8E_9	Q8E_10	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9C_1	Q9C_2	Q9C_3	Q9C_4	Q9C_5	Q9C_6	Q9C_7	Q10A	Q10C	Q10E	Q10G	Q11A	Q11C	Q12_1	Q12_2	Q12_3	Q12_4	Q12_5	Q12_6	Q12_7	Q12_8	Q12_9	Q12_10	Q13A	Q13D	Q13E_1	Q13E_2	Q13E_3	Q13E_4	Q14_1	Q14_2	Q14_3	Q14_4	Q14_5	Q14_6	Q14_7	Q14_8	Q14_9	Q14_10	Q14_11	Q14_12	Q14_13	Q14_14	Q14_15	Q14_16	Q14_17	Q14_18	Q14_19	Q14_20	Q14_21	Q14_22	Q14_23	Q14_24	Q14_25	Q14_26	Q14_27	Q14_28	Q14_29	Q14_30	Q15A_1	Q15A_2	Q15A_3	Q15A_4	Q15A_5	Q15A_6	Q15A_7	Q15A_8	Q15A_9	Q15A_10	Q15A_11	Q15B_1	Q15B_2	Q15B_3	Q15B_4	Q15B_5	Q15B_6	Q15B_7	Q15B_8	Q15B_9	Q15B_10	Q15C_1	Q15C_2	Q15C_3	Q15C_4	Q15C_5	Q15C_6	Q15C_7	Q15C_8	Q15C_9	Q15C_10	Q16A	Q17_1	Q17_2	Q17_3	Q17_4	F1	F3	F4_1	F4_2	F4_3	F4_4	F4_5	F4_6	F4_7	F5	F6	F7	F8	F9	F11	F12	F13
2	1	1	2	2	2	2	2	2	2	2	3	3	2	3	3	4	4	3	3	4	5	4	NA	NA	4	NA	2	2	3	3	2	4	4	4	4	1	2	2	2	2	1	1	2	3	4	2	1	2	2	2	1	2	3	4	1	2	3	2	1	2	2	3	3	1	1	3	1	1	2	1	3	3	3	2	2	3	3	3	3	3	2	1	1	3	3	3	3	3	3	3	3	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	4	4	4	4	2	3	2	3	2	3	2	3	4	2	2	NA	NA	3	NA	1	NA	1	1	1	1	3	NA	NA	2	2	2	2	1	3	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	2	2	3	2	3	1	1	1	1	1	1	2	2	2	2	2	3	3	1	1	1	1	1	2	2	3	2	2	1	2	2	3	2	2	1	2	3	1	2	2	2	2	1	1	2	2	2	2	3	2	2	2	3	2	2	2	2	2	1	2	2	2	3	2	2	2	2	2	1	NA	1	1	2	2	1	1	2	1	1	1	2	3	3	1	7	7	1	6	3	1	1
2	1	1	2	3	2	2	2	2	2	3	3	3	2	2	3	NA	4	4	4	5	5	NA	NA	NA	5	3	4	3	4	2	4	2	2	3	2	4	2	2	2	3	4	1	2	2	4	1	2	2	3	2	2	3	3	3	1	1	4	2	2	1	1	2	2	1	1	4	1	1	1	1	4	4	3	2	3	3	3	3	3	3	3	1	1	1	1	1	1	4	4	1	4	2	2	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	3	4	3	3	3	3	3	4	3	3	3	2	3	3	4	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	3	3	1	1	1	1	1	1	1	3	3	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	3	1	2	1	2	1	2	2	1	1	2	3	1	3	2	2	4	2	3	3	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	2	2	1	3	3	3	1	2	2	1	2	2	2	1	2	2	1	1	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	1	1	2	1	3	2	2	1	2	1	2	2	2	1	2	2	3	2	1	7	3	1	6	2	1	1
1	2	2	3	2	2	2	2	1	2	2	3	2	2	2	NA	3	3	3	3	5	5	3	3	3	3	3	2	1	3	4	2	4	3	4	4	4	2	2	1	1	1	1	4	1	4	2	1	1	1	1	1	1	1	2	1	2	3	3	1	2	3	3	3	1	1	3	2	1	2	1	4	4	3	2	2	1	4	3	3	1	2	1	1	2	2	2	2	2	2	2	3	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	2	3	3	1	3	2	3	3	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	2	2	1	2	1	2	3	2	3	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	1	1	1	1	1	3	3	1	3	1	2	2	1	1	1	1	3	1	1	2	3	3	1	6	7	1	5	3	1	1
2	1	1	2	1	1	1	2	1	2	2	3	3	1	1	3	3	4	3	4	5	5	3	NA	NA	3	3	1	2	4	4	2	3	3	4	4	3	2	2	2	2	1	1	3	2	2	2	1	2	1	1	1	2	2	4	1	2	1	3	1	2	2	3	3	1	1	1	2	2	2	2	3	3	3	2	3	3	3	2	3	3	3	2	1	2	2	2	2	4	4	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	3	2	2	2	NA	2	2	2	2	1	2	3	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	2	1	2	2	1	2	2	2	3	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	3	1	1	2	1	3	3	1	7	7	1	6	1	1	1
2	1	1	2	2	3	2	2	2	2	3	3	3	3	3	3	3	NA	3	3	5	5	NA	NA	NA	NA	NA	2	2	4	4	3	3	3	4	3	3	2	3	3	3	1	1	4	1	4	2	1	2	2	1	4	4	4	4	2	1	2	1	2	1	1	3	3	1	1	2	1	2	1	1	2	3	2	1	3	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	3	1	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	4	3	3	3	3	3	1	3	3	3	3	3	1	3	1	7	1	1	1	1	NA	1	1	1	1	1	1	1	2	1	2	2	3	3	1	2	1	1	2	2	2	2	3	3	2	4	1	1	1	1	2	2	3	2	2	1	2	1	1	NA	2	1	3	3	2	1	2	1	1	2	2	2	2	1	1	3	3	1	2	1	1	1	2	1	1	2	2	2	2	2	2	2	1	1	2	1	1	2	1	1	1	1	1	2	3	2	2	2	1	2	2	1	2	2	2	1	NA	1	2	1	2	1	2	2	2	2	1	2	1	2	1	2	1	2	2	2	1	2	2	1	2	2	1	1	1	1	2	2	2	NA	1	3	1	2	2	3	3	1	5	6	1	6	2	1	1
3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	3	2	3	3	2	4	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	3	2	2	2	2	3	3	1	1	2	1	3	1	2	3	3	3	2	NA	NA	NA	NA	NA	NA	NA	1	1	3	3	2	3	2	2	3	3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	3	3	3	3	3	1	3	3	1	3	3	1	2	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	2	2	3	2	2	1	1	2	2	1	2	1	1	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	2	2	2	2	1	1	2	2	4	1	2	2	1	1	1	1	1	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	2	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	2	1	1	2	2	2	1	1	1	2	2	1	2	1	1	2	2	1	NA	1	2	1	2	1	3	3	1	6	2	1	6	3	1	1
NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	4	3	4	5	4	3	4	3	5	3	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	1	1	2	2	2	1	1	2	3	1	1	3	1	1	1	1	2	2	3	2	NA	NA	NA	NA	NA	NA	NA	1	1	3	3	1	3	4	4	1	4	3	1	3	1	3	2	2	3	3	3	1	1	3	2	1	1	2	3	3	1	1	1	3	1	1	3	2	2	3	3	3	3	2	2	2	3	3	3	3	3	2	2	1	6	1	1	1	1	NA	1	1	1	1	1	1	1	NA	2	2	2	1	2	1	2	1	3	2	1	1	4	1	4	4	1	1	1	1	1	2	2	3	2	1	1	1	1	1	1	1	1	3	1	2	1	2	2	1	2	2	2	2	1	1	2	3	2	2	2	2	1	3	1	1	1	1	1	1	3	2	1	1	1	2	3	2	2	1	1	2	1	1	3	3	1	2	3	1	1	2	1	3	3	3	2	1	3	3	1	1	1	1	3	1	3	1	1	1	2	1	2	1	3	1	1	1	2	3	2	1	2	3	1	1	1	2	2	1	1	1	2	2	2	2	3	3	1	2	7	1	6	2	1	2
1	1	2	2	2	2	2	3	1	2	2	4	2	1	1	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	4	3	1	1	3	3	2	3	3	4	4	4	2	2	2	3	3	2	3	3	3	2	1	1	2	2	1	2	1	2	1	1	3	2	2	2	2	2	3	1	1	NA	NA	NA	NA	1	NA	NA	3	2	2	2	1	1	1	2	1	1	1	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	3	3	3	3	3	3	2	2	1	1	2	3	1	2	1	1	2	2	2	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	3	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	2	2	1	1	1	2	1	1	1	2	2	2	1	2	1	1	2	1	2	2	1	3	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	3	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	2	2	1	1	2	1	2	1	1	3	3	2	2	3	3	3	2	5	3	2	NA	3	1	1
3	3	3	1	3	3	1	3	1	2	3	3	2	1	2	3	NA	NA	3	NA	5	NA	NA	NA	NA	5	NA	2	2	3	2	3	3	2	4	2	3	2	2	2	2	2	2	3	1	3	2	2	1	2	1	1	1	1	2	1	1	3	1	2	2	2	3	3	1	1	3	1	2	2	1	3	3	3	2	1	1	1	3	3	1	1	1	1	3	3	3	3	3	3	3	3	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	3	1	1	2	1	4	NA	1	3	3	3	3	3	3	3	1	1	NA	1	1	NA	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	3	2	1	1	1	1	1	1	1	3	1	1	1	2	2	1	NA	1	1	NA	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	3	3	1	1	3	3	3	2	8	6	1	4	2	1	1
3	2	1	1	1	1	2	2	2	2	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5	1	1	4	5	NA	2	2	2	5	5	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	3	1	3	3	1	3	3	1	1	3	1	3	3	1	3	3	NA	4	1	1	2	3	3	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	7	1	1	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	3	3	2	2	2	3	3	2	2	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	2	1	1	2	1	1	2	2	2	2	2	1	2	1	2	2	3	4	1	2	2	2	1	1	1	1	2	2	2	1	2	2	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	1	2	1	3	1	2	1	2	1	1	3	3	1	1	3	3	3	1	6	5	1	5	1	1	1
1	1	2	2	3	3	2	3	2	3	3	3	3	2	3	3	NA	NA	3	NA	4	NA	NA	NA	NA	3	NA	3	2	4	3	2	3	2	3	3	3	3	3	3	3	3	2	3	2	2	3	2	1	2	2	2	2	2	2	1	1	2	2	1	2	2	2	2	1	1	2	1	1	1	1	2	2	3	2	2	2	2	3	3	3	3	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	2	2	3	1	3	2	2	3	3	1	2	2	5	3	1	1	2	1	2	1	1	1	1	1	1	NA	1	2	1	1	1	2	1	1	1	2	2	3	2	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	2	2	2	1	2	2	2	3	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	1	1	2	1	1	1	1	2	2	2	2	1	1	1	3	3	1	1	2	2	2	2	7	4	1	5	1	1	1
2	1	2	2	2	3	2	3	3	3	3	2	2	2	3	3	3	NA	3	NA	NA	NA	NA	3	3	3	NA	1	1	4	3	1	4	2	2	2	4	3	3	3	3	2	2	3	2	3	3	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	3	1	1	2	2	3	2	3	3	3	3	3	1	1	1	1	2	2	2	2	3	3	3	3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	3	3	2	3	1	2	2	2	2	2	2	2	3	1	3	1	2	1	3	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	3	2	3	3	2	4	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	2	1	2	1	2	2	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	3	2	2	3	2	2	2	1	1	2	1	1	2	1	2	2	2	1	2	1	1	3	3	1	2	3	3	3	1	6	7	1	6	3	1	1
1	2	3	1	2	2	1	2	1	2	2	4	4	1	1	3	2	3	3	3	3	3	3	6	6	3	3	2	1	5	2	2	3	2	5	5	5	4	2	2	2	4	2	4	4	4	2	1	1	2	4	2	4	4	4	2	2	4	2	2	2	2	2	2	2	1	2	1	2	1	1	2	2	3	2	2	2	1	3	3	2	1	2	2	1	2	4	4	4	4	4	4	1	2	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	2	2	2	3	3	1	3	3	3	3	3	1	2	3	NA	3	3	3	3	1	2	1	3	1	1	2	3	2	1	2	1	2	1	1	1	1	1	3	2	2	2	3	3	2	1	1	2	2	2	2	2	3	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	3	1	2	1	2	1	3	2	1	2	1	1	2	1	1	1	3	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	3	2	2	1	1	3	1	3	1	1	2	2	1	1	3	3	2	2	3	3	3	1	8	7	1	3	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	2	2	4	2	2	2	2	3	2	3	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	1	1	2	1	1	1	1	2	2	3	2	3	3	3	2	2	2	2	1	1	2	3	3	3	3	3	3	3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	3	3	2	3	3	3	3	3	2	2	3	NA	NA	2	2	1	2	1	1	1	1	1	1	2	2	2	2	3	2	2	1	1	1	3	3	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	2	2	2	2	1	2	2	1	3	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	2	1	2	2	2	2	2	1	2	1	1	2	2	2	3	3	3	2	3	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	3	2	2	1	2	1	1	2	3	1	2	2	3	2	1	3	5	1	3	3	1	1
1	2	2	2	2	3	1	3	1	3	3	2	2	1	2	3	3	NA	3	NA	5	NA	NA	3	3	NA	3	1	1	4	2	NA	1	1	4	2	2	3	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	2	2	3	1	3	2	3	3	1	1	2	2	1	2	1	2	3	3	1	2	2	2	3	3	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	3	2	3	1	2	3	2	3	3	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	NA	2	2	2	2	2	2	2	2	2	1	2	2	3	1	2	2	1	1	1	3	3	1	2	2	3	3	1	6	7	1	6	3	1	1
2	3	3	3	3	3	2	3	2	3	3	3	2	2	2	NA	NA	NA	3	NA	5	NA	NA	NA	3	3	3	2	2	3	2	3	2	2	4	3	3	2	2	1	2	2	1	2	2	1	2	1	1	1	2	1	2	2	2	1	2	2	1	1	2	3	2	3	1	1	2	2	1	2	1	2	3	3	1	1	1	2	3	3	3	3	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	3	3	3	2	3	3	3	3	3	2	2	3	5	3	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	2	2	2	3	2	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	1	1	1	1	2	1	2	3	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	1	3	2	2	1	2	1	1	3	3	1	2	3	3	3	2	5	7	2	NA	3	1	1
1	1	1	2	1	1	2	1	1	3	2	2	2	2	3	3	3	4	3	4	3	NA	3	3	3	3	NA	1	1	3	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	1	3	1	2	1	3	3	2	1	2	3	2	2	1	3	3	3	2	NA	NA	NA	3	3	3	3	1	1	2	2	2	2	2	2	4	4	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	3	1	2	1	2	2	2	2	2	2	2	2	3	2	3	1	1	NA	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	NA	1	1	1	1	1	2	2	1	2	2	1	2	1	2	2	2	3	1	2	1	1	2	1	1	1	2	2	2	1	2	1	1	2	2	2	1	2	2	2	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	1	1	2	1	1	2	1	2	2	2	2	1	1	1	3	3	1	1	3	3	3	2	6	7	1	6	1	1	1
1	1	1	2	3	3	2	2	1	2	3	2	1	1	1	4	NA	NA	3	3	5	4	NA	4	4	4	4	2	1	4	3	2	3	3	5	5	2	2	3	2	2	1	1	2	2	2	2	1	1	2	1	1	2	2	2	1	2	1	3	1	2	2	2	2	2	1	2	3	2	2	1	2	3	3	2	2	2	2	2	2	2	1	1	1	4	2	3	3	3	1	3	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	4	4	4	3	2	2	3	3	3	3	3	3	3	3	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	NA	2	1	1	2	1	1	1	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	2	NA	2	1	1	2	2	4	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	2	NA	1	1	NA	2	1	2	2	1	2	2	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	1	1	2	2	1	2	2	2	1	2	1	1	2	2	1	2	2	2	2	1	1	1	3	3	1	1	3	3	2	1	5	7	1	5	1	1	1
1	1	2	2	2	1	2	1	2	3	3	2	2	2	2	3	3	4	3	3	3	NA	NA	3	3	3	3	2	3	4	2	4	3	3	4	2	4	2	3	2	2	2	1	2	3	3	2	1	1	2	1	1	2	2	3	1	1	3	2	1	1	1	1	2	1	1	2	1	2	2	1	1	2	1	NA	2	2	2	2	2	2	2	1	1	2	2	3	1	3	2	3	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	3	3	3	3	1	3	3	3	3	3	1	2	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	1	1	2	1	1	2	1	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	2	2	3	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	3	1	1	2	2	2	1	2	2	2	1	2	1	2	2	1	2	1	1	2	2	1	2	2	1	1	2	2	1	2	1	2	1	2	2	1	1	2	2	1	1	2	1	2	2	1	1	2	3	1	NA	2	2	1	2	1	1	3	3	1	2	3	2	2	1	7	7	1	6	1	1	1
1	1	2	2	2	2	2	2	1	2	3	3	2	1	2	4	4	4	4	4	5	4	NA	NA	3	4	3	2	1	3	3	2	2	2	4	4	2	3	3	3	3	3	3	3	3	3	3	1	1	1	2	1	1	1	2	1	2	2	2	1	2	2	2	1	2	1	1	2	2	1	1	2	3	3	2	2	1	1	1	NA	NA	NA	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	2	1	1	2	3	2	3	1	1	2	3	NA	2	1	1	NA	NA	2	1	2	1	2	NA	1	2	1	2	1	1	2	2	1	1	1	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	2	2	1	2	2	1	1	1	2	2	2	3	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	1	1	1	2	1	1	2	1	NA	1	2	1	2	1	1	3	3	1	1	3	3	3	2	8	5	1	4	1	1	1
